MouseID	MouseID_2	CageNr	Takedown	Takedown_order	Promethion_Position	Promethion_Cabinet	Category	Sex	Batch	DOB	Litter	T0_Date	T0_time	T0_DayPI	T0_weight	T0_leanmass	T0_leanperc	T0_fatmass	T0_fatperc	T0_Fwater	T0_Twater	T1_Date	T1_time	T1_DayPI	T1_weight	T2_Date	T2_time	T2_DayPI	T2_weight	T3_Date	T3_time	T3_DayPI	T3_weight	T4_Date	T4_DayPI	T4_time	T4_weight	T4_fatmass	T4_fatperc	T4_leanmass	T4_leanperc	T4_Fwater	T4_Twater	T5_Date	T5_time	T5_DayPI	Promethion_Comments_mouse	Promethion_Comments_for _all	T6_Date	T6_fasting_start	T6_takedown_time	T6_DayPI	T6_weight	T6_fatmass	T6_fatperc	T6_leanmass	T6_leanperc	T6_Fwater	T6_Twater	Spilled_Food_cage	Feces_cage	Promethion_weight	qPCR_Cmin_per_gCC	bombcal_thawed_sample_mass	bombcal_Dry_sample_mass	bombcal_Burned_sample_mass	bombcal_Calorific_Value	Comment_all
5810	Live_fB1C1M3	Live_fb1c1	D	7	14	2	Live	F	fB1	09.03.2020	C	16.04.2020	11:00	0	23.8	20.88	87.73109244	2.81	11.80672269	0.12	18.42	22.04.2020	11:50 AM	6	28.16	29.04.2020	10:35	13	31.71	06.05.2020	10:37	20	32.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	NA	14.05.2020	08:31	13:32	28	33.5	7.09	21.16	25.83	77.1	0.06	22.87	10.61	3.42	35.30788	22567568	3.4186	3.3653	0.8695	15912	NA
5848	Live_fB1C1M4	Live_fb1c1	C	10	15	2	Live	F	fB1	15.03.2020	B	16.04.2020	11:00	0	27.61	23.71	85.87468309	3.46	12.53169142	0.47	21.02	22.04.2020	11:50 AM	6	29.08	29.04.2020	10:35	13	32.16	06.05.2020	10:37	20	33.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	NA	14.05.2020	09:46	14:33	28	37.99	8.13	21.4	28.64	75.39	0.08	25.76	7.72	4.48	37.95976	21142857	4.4504	4.3856	0.9009	15977	NA
5799	Live_fB1C2M1	Live_fb1c2	D	5	2	1	Live	F	fB1	11.03.2020	A	16.04.2020	11:00	0	21.32	19.12	89.68105066	1.9	8.911819887	0.09	16.73	22.04.2020	11:50 AM	6	23.05	29.04.2020	10:50	13	26.55	06.05.2020	10:07	20	28.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	NA	14.05.2020	08:01	13:04	28	30.29	5.22	17.23	23.31	76.96	0.15	21.25	16.54	3.11	29.39784	35021097	3.11	3.0524	0.885	15677	NA
5812	Live_fB1C2M2	Live_fb1c2	D	13	4	1	Live	F	fB1	11.03.2020	A	16.04.2020	11:00	0	25.43	21.13	83.09083759	2.84	11.16791192	0.38	18.53	22.04.2020	11:50 AM	6	28.16	29.04.2020	10:50	13	32.41	06.05.2020	10:07	20	35.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	NA	14.05.2020	10:31	15:15	28	34.5	8.53	24.72	24.7	71.59	0.1	21.61	20.75	2.49	35.99658	18756219	2.4884	2.4533	0.8198	15934	NA
5850	Live_fB1C2M3	Live_fb1c2	C	2	5	1	Live	F	fB1	15.03.2020	B	16.04.2020	11:00	0	25.31	21.44	84.70960095	2.37	9.363887791	0.06	18.72	22.04.2020	11:50 AM	6	27.07	29.04.2020	10:50	13	28.6	06.05.2020	10:07	20	34.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	something weird with food: is eating a lot + there is an issue with the sarting amount (does not start at 0)	NA	14.05.2020	07:16	12:14	28	32.51	6.29	19.35	24.92	76.65	0.45	20.96	47.91	2.98	33.07455	24507042	2.9701	2.882	0.9079	15935	NA
5813	Live_fB1C2M4	Live_fb1c2	C	16	7	1	Live	F	fB1	11.03.2020	A	16.04.2020	11:00	0	23.25	20.27	87.1827957	2.63	11.31182796	0.57	17.45	22.04.2020	11:50 AM	6	27.09	29.04.2020	10:50	13	29.21	06.05.2020	10:07	20	33.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	NA	14.05.2020	11:14	15:46	28	31.56	6.73	21.32	24.33	77.09	0.11	21.66	28.63	2.83	31.6066	27198068	2.82	2.7793	0.9098	15582	NA
5949	Killed_fB2C1M1	Killed_fb2c1	D	7	10	2	Killed	F	fB2	26.03.2020	D	27.04.2020	13:00	0	25.84	22.07	85.41021672	3.05	11.80340557	0	17.7	04.05.2020	10:10	7	27.09	11.05.2020	09:26	14	29.41	18.05.2020	10:45	21	32.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	22.05.2020: tranfered mice from 7 to 8:02 am	25.05.2020	08:31	13:24	28	31.43	7.48	23.8	23.08	73.43	0	21.36	40	2.54	32.34395	810811	2.5334	2.5148	0.878	15838	NA
5887	Killed_fB2C1M2	Killed_fb2c1	D	9	12	2	Killed	F	fB2	19.03.2020	E	27.04.2020	13:02	0	23.88	20.27	84.88274707	2.88	12.06030151	0.78	18.03	04.05.2020	10:10	7	27.45	11.05.2020	09:26	14	31.71	18.05.2020	10:45	21	32.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	23.05.2020: checked mice at 13:15-13:20	25.05.2020	09:30	14:30	28	32.3	8.39	25.98	21.39	66.22	0.11	18.09	4.6	2.79	32.96124	523810	2.7501	2.726	0.9743	15737	NA
5886	Killed_fB2C1M3	Killed_fb2c1	C	16	13	2	Killed	F	fB2	19.03.2020	E	27.04.2020	13:03	0	18.29	15.53	84.90978677	2.01	10.98961181	0.11	13.26	04.05.2020	10:10	7	25.79	11.05.2020	09:26	14	27.85	18.05.2020	10:45	21	28.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	24.05.2020: checked mice at 15:45 -15:50	25.05.2020	11:16	16:15:00?	28	30.4	5.97	19.64	23.72	78.03	0.03	20.89	9.06	3.08	30.705	317460	3.0735	3.0487	0.8658	15916	NA
5888	Killed_fB2C1M4	Killed_fb2c1	C	4	16	2	Killed	F	fB2	19.03.2020	E	27.04.2020	13:05	0	22.55	20.16	89.40133038	2.13	9.445676275	0.29	17.71	04.05.2020	10:10	7	25.67	11.05.2020	09:26	14	28.25	18.05.2020	10:45	21	28.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	NA	25.05.2020	07:46	12:45	28	30.37	4.48	14.75	25	82.32	0.12	22.24	6.31	2.86	29.87997	432900	2.8559	2.8315	0.9392	15894	NA
5950	Killed_fB2C2M1	Killed_fb2c2	D	15	1	1	Killed	F	fB2	26.03.2020	D	27.04.2020	13:20	0	23.63	20.18	85.39991536	2.97	12.56876851	0	17.7	04.05.2020	10:20	7	25.79	11.05.2020	10:15	14	27.27	18.05.2020	10:23	21	30.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	NA	25.05.2020	11:00	15:51	28	28.32	5.67	20.02	22.05	77.86	0.18	20.89	25.35	2.12	29.06435	692641	2.1154	2.0992	0.8936	15643	NA
5889	Killed_fB2C2M2	Killed_fb2c2	C	12	6	1	Killed	F	fB2	19.03.2020	E	27.04.2020	13:21	0	20.97	18.48	88.12589413	2.52	12.01716738	0.19	15.35	04.05.2020	10:20	7	28.37	11.05.2020	10:15	14	31.96	18.05.2020	10:23	21	32.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	NA	25.05.2020	10:15	15:06	28	31.22	6.68	21.4	24.25	77.67	0	21.29	14.26	2.62	31.9791	516432	2.6225	2.603	0.904	15786	NA
5916	Killed_fB2C2M3	Killed_fb2c2	D	1	3	1	Killed	F	fB2	19.03.2020	F	27.04.2020	13:22	0	27.19	22.73	83.59691063	3.75	13.79183523	0.22	19.76	04.05.2020	10:20	7	30.64	11.05.2020	10:15	14	35.09	18.05.2020	10:23	21	37.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	NA	25.05.2020	07:02	12:02	28	35.6	8.95	25.14	25.28	71.01	0.12	21.66	19.92	2.17	38.38235	495495	2.1628	2.147	0.9317	15462	NA
5890	Killed_fB2C2M4	Killed_fb2c2	C	2	8	1	Killed	F	fB2	19.03.2020	E	27.04.2020	13:24	0	20.38	17.92	87.92934249	2.3	11.28557409	0.07	15.31	04.05.2020	10:20	7	27.77	11.05.2020	10:15	14	31.49	18.05.2020	10:23	21	31.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	NA	25.05.2020	07:15	12:15	28	33.52	7.01	20.91	25.72	76.73	0.31	22	3.74	2.91	33.08551	516432	2.9093	2.887	0.9594	15854	NA
5951	Live_fB2C1M1	Live_fb2c1	C	6	2	1	Live	F	fB2	26.03.2020	D	27.04.2020	13:07	0	23.26	19.62	84.35081685	3.28	14.10146174	0.27	16.85	04.05.2020	09:50	7	25.41	11.05.2020	09:47	14	29.43	18.05.2020	10:34	21	30.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	NA	25.05.2020	08:15	13:14	28	29.87	6.27	20.99	22.05	73.82	0.22	19.62	17.75	2.49	29.6571	19950980	2.4827	2.4771	1.6602	15324	NA
5891	Live_fB2C1M2	Live_fb2c1	C	10	4	1	Live	F	fB2	19.03.2020	E	27.04.2020	13:12	0	20.84	17.73	85.07677543	2.53	12.14011516	0	14.92	04.05.2020	09:50	7	27.14	11.05.2020	09:47	14	30.55	18.05.2020	10:34	21	33.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	NA	25.05.2020	09:47	14:37	28	31.6	6.92	21.9	24.16	76.46	0.1	21.49	8.6	2.42	31.55591	17031250	2.4038	2.3846	0.8754	15198	NA
5917	Live_fB2C1M3	Live_fb2c1	D	13	5	1	Live	F	fB2	19.03.2020	F	27.04.2020	13:09	0	25.48	21.24	83.35949765	3.36	13.18681319	0	18.22	04.05.2020	09:50	7	27.02	11.05.2020	09:47	14	31.13	18.05.2020	10:34	21	33.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	NA	25.05.2020	10:30	15:23	28	31.48	7.64	24.27	22.83	72.52	0.13	20.27	16.93	2.43	33.93335	15619048	2.4283	2.4007	0.8832	15653	NA
5952	Live_fB2C1M4	Live_fb2c1	D	3	7	1	Live	F	fB2	26.03.2020	D	27.04.2020	13:15	0	22.96	19.45	84.71254355	2.69	11.71602787	0.17	17.13	04.05.2020	09:50	7	24.02	11.05.2020	09:47	14	26.92	18.05.2020	10:34	21	27.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	NA	25.05.2020	07:30	12:30	28	27.35	4.98	18.21	21.34	78.03	0.36	18.95	14.05	2.6	27.62627	15428571	2.588	2.5468	0.991	15715	NA
5892	Live_fB2C2M1	Live_fb2c2	C	8	9	2	Live	F	fB2	19.03.2020	E	27.04.2020	13:27	0	23.73	20.52	86.47281922	2.83	11.92583228	0.12	18.08	04.05.2020	10:50	7	26.61	11.05.2020	10:02	14	28.26	18.05.2020	10:55	21	30.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	NA	25.05.2020	08:45	13:54	28	29.86	5	16.74	24.24	81.18	0.02	21.36	16.31	2.79	29.50784	27047619	2.7829	2.7752	0.8977	14553	NA
5953	Live_fB2C2M2	Live_fb2c2	D	11	11	2	Live	F	fB2	26.03.2020	D	27.04.2020	13:29	0	25.08	20.49	81.69856459	3.45	13.75598086	0	17.94	04.05.2020	10:50	7	26.23	11.05.2020	10:02	14	28.3	18.05.2020	10:55	21	33.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	NA	25.05.2020	10:00	14:54	28	30.32	5.54	18.27	24.16	79.68	0	21.77	19.74	2.81	30.01849	19451477	2.7866	2.767	0.8907	15572	NA
5893	Live_fB2C2M3	Live_fb2c2	C	14	14	2	Live	F	fB2	19.03.2020	E	27.04.2020	13:30	0	18.56	16.37	88.20043103	2.06	11.09913793	0	13.65	04.05.2020	10:50	7	25.36	11.05.2020	10:02	14	29.47	18.05.2020	10:55	21	29.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	NA	25.05.2020	10:46	15:32	28	31.35	6.07	19.36	24.64	78.6	0.38	21.71	7.84	3.28	31.22139	18917749	3.2684	3.2509	0.8939	15846	NA
5954	Live_fB2C2M4	Live_fb2c2	D	5	15	2	Live	F	fB2	26.03.2020	D	27.04.2020	13:32	0	24.34	20.16	82.82662284	2.13	8.751027116	0.29	17.71	04.05.2020	10:50	7	24.99	11.05.2020	10:02	14	28.09	18.05.2020	10:55	21	32.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.05.2020	08:02	25	NA	NA	25.05.2020	08:00	12:57	28	29.87	5.57	18.65	23.85	79.85	0.13	21.24	29.56	2.32	30.38133	26271930	2.3175	2.3078	0.9669	15648	NA
6309	Killed_fB3C1M1	Killed_fb3c1	D	3	8	1	Killed	F	fB3	15.06.2020	Tac	24.07.2020	12:59	0	26.58	20.83	78.36719338	4.88	18.35966892	0	18.23	31.07.2020	10:08	7	30.57	07.08.2020	09:16	14	32.9	14.08.2020	10:12	21	33.12	17.08.2020	24	09:46	34.97	7.81	22.33342865	26.57	75.97941092	0	23.3	18.08.2020	08:11	25	NA	"18.08.2020: started recording at 7:15, finished transfer at 8:12"	21.08.2020	07:31	12:33	28	33.09	7.17	21.6681777	25.09	75.82351163	0.16	21.67	17.24	2.36	32.68229	11232877	2.3574	2.338	0.892	15942	NA
6297	Killed_fB3C1M2	Killed_fb3c1	C	12	4	1	Killed	F	fB3	15.06.2020	Tac	24.07.2020	12:57	0	27.36	20.85	76.20614035	5.09	18.60380117	0.16	18.03	31.07.2020	10:08	7	31.14	07.08.2020	09:16	14	34.44	14.08.2020	10:12	21	37.59	17.08.2020	24	09:42	38.13	10.53	27.61605035	27.06	70.96774194	0.11	24.08	18.08.2020	08:11	25	NA	"19.08.2020: checked mice from 10:45-10:55, had to remove bedding from 2 cages"	21.08.2020	10:16	15:15	28	34.73	8.24	23.7258854	25.91	74.60408868	0.04	22.96	37.78	1.54	33.85125	19812207	1.5411	1.5337	0.8492	16252	NA
6296	Killed_fB3C1M3	Killed_fb3c1	D	15	6	1	Killed	F	fB3	15.06.2020	Tac	24.07.2020	12:58	0	25.4	20	78.74015748	4.2	16.53543307	0.09	17.42	31.07.2020	10:08	7	29.68	07.08.2020	09:16	14	32.59	14.08.2020	10:12	21	35.56	17.08.2020	24	09:37	38	8.53	22.44736842	28.98	76.26315789	0.22	25.45	18.08.2020	08:11	25	NA	20.08.2020: checked mice from 9:25 - 9:35	21.08.2020	10:58	15:58	28	32.09	5.54	17.26394515	25.33	78.93424743	0.33	21.49	17.67	1.73	NA	NA	NA	NA	NA	NA	Sick -> exclude from all analysis
6307	Killed_fB3C1M4	Killed_fb3c1	C	6	2	1	Killed	F	fB3	15.06.2020	Tac	24.07.2020	12:59	0	30.45	20.99	68.93267652	7.94	26.07553366	0.08	18.27	31.07.2020	10:08	7	32.1	07.08.2020	09:16	14	33.77	14.08.2020	10:12	21	35.55	17.08.2020	24	09:50	35.89	10.05	28.00222903	25.29	70.46531067	0.25	22.54	18.08.2020	08:11	25	NA	NA	21.08.2020	08:15	13:15	28	34.96	9.01	25.77231121	24.23	69.30778032	0.21	21.27	22.34	2.55	34.96875	865801	2.5471	2.5338	0.9222	15692	NA
6299	Killed_fB3C2M1	Killed_fb3c2	C	16	15	2	Killed	F	fB3	15.06.2020	Tac	24.07.2020	12:48	0	26.9	20.73	77.06319703	4.95	18.40148699	0.01	18.32	31.07.2020	10:59	7	30.58	07.08.2020	09:47	14	31.64	14.08.2020	09:41	21	33.16	17.08.2020	24	09:04	33.47	8.54	25.51538691	24.5	73.19988049	0.01	21.45	18.08.2020	08:11	25	NA	NA	21.08.2020	11:16	16:15	28	31.91	6.92	21.68599185	24.29	76.12033845	0.29	21.56	46.83	2.49	32.68446	23852814	2.4909	2.4792	0.8674	15867	NA
6295	Killed_fB3C2M2	Killed_fb3c2	D	13	11	2	Killed	F	fB3	15.06.2020	Tac	24.07.2020	12:45	0	27.97	21.19	75.75974258	6.15	21.98784412	0.01	18.24	31.07.2020	10:59	7	31.58	07.08.2020	09:47	14	33.16	14.08.2020	09:41	21	37.32	17.08.2020	24	09:08	37.18	9.41	25.30930608	27.3	73.42657343	0.45	24.17	18.08.2020	08:11	25	NA	NA	21.08.2020	10:31	15:29	28	33.37	8.32	24.93257417	26.52	79.47258016	0.2	23.31	4.76	2.38	35.4974	34090909	2.3791	2.3687	0.9658	15995	NA
6306	Killed_fB3C2M3	Killed_fb3c2	C	4	9	2	Killed	F	fB3	15.06.2020	Tac	24.07.2020	12:46	0	25.32	20.56	81.20063191	3.98	15.71879937	0.1	17.96	31.07.2020	10:59	7	28.48	07.08.2020	09:47	14	29.18	14.08.2020	09:41	21	31.43	17.08.2020	24	09:00	32.3	6.29	19.47368421	25.78	79.81424149	0.18	22.47	18.08.2020	08:11	25	NA	NA	21.08.2020	07:46	12:45	28	32.29	5.6	17.3428306	26.13	80.92288634	0.7	22.46	25.87	2.51	31.47354	19393939	2.5103	2.4895	0.9234	15662	NA
6304	Killed_fB3C2M4	Killed_fb3c2	D	5	12	2	Killed	F	fB3	15.06.2020	Tac	24.07.2020	12:47	0	25.79	19.14	74.21481194	5.37	20.82202404	0.35	16.56	31.07.2020	10:59	7	29.43	07.08.2020	09:47	14	31.23	14.08.2020	09:41	21	33.01	17.08.2020	24	08:57	34.04	9	26.43948296	24.77	72.76733255	0.84	22.66	18.08.2020	08:11	25	19.08.2020: had to remove nestlet from this cage as it was blocking beams (10:45-10:55)	NA	21.08.2020	08:00	13:02	28	34.45	8.55	24.81857765	25.17	73.06240929	0.19	22.16	21.69	2.96	34.37227	22458333	2.9633	2.9403	0.9032	15716	NA
6315	Live_fB3C1M1	Live_fb3c1	C	8	3	1	Live	F	fB3	15.06.2020	Tac	24.07.2020	12:18	0	26.95	20.54	76.21521336	5.08	18.84972171	0	17.95	31.07.2020	10:42	7	29.77	07.08.2020	09:31	14	33.55	14.08.2020	09:56	21	36.67	17.08.2020	24	08:45	38.66	10.87	28.11691671	26.96	69.73616141	0.08	23.9	18.08.2020	08:11	25	NA	NA	21.08.2020	08:44	13:45	28	34.67	8.84	25.49754831	25.5	73.55062013	0.09	22.59	9.01	2.15	35.30544	8164251	2.1519	2.1406	0.8946	16068	NA
6312	Live_fB3C1M2	Live_fb3c1	C	10	5	1	Live	F	fB3	15.06.2020	Tac	24.07.2020	12:17	0	27.72	20.51	73.98989899	6.04	21.78932179	0.14	17.73	31.07.2020	10:42	7	30.86	07.08.2020	09:31	14	33.74	14.08.2020	09:56	21	36.97	17.08.2020	24	08:40	37.87	9.99	26.3797201	27.13	71.63982044	0.23	24.15	18.08.2020	08:11	25	19.08.2020: distrubuted bedding as it was all in one pile (10:45-10:55)	NA	21.08.2020	09:46	14:50	28	34.92	8.11	23.22451317	26.28	75.25773196	0.28	23.36	10.99	1.76	33.40232	13157895	1.7321	1.7173	0.8455	15927	NA
6303	Live_fB3C1M3	Live_fb3c1	D	11	1	1	Live	F	fB3	15.06.2020	Tac	24.07.2020	12:17	0	24.77	19.6	79.12797739	3.84	15.50262414	0.09	17.12	31.07.2020	10:42	7	28.53	07.08.2020	09:31	14	29.04	14.08.2020	09:56	21	29.78	17.08.2020	24	08:36	31.07	6.82	21.9504345	23.45	75.47473447	0.1	20.56	18.08.2020	08:11	25	NA	NA	21.08.2020	09:59	15:00	28	27.93	5.06	18.11672037	22.24	79.62764053	0	19.62	11.08	2.22	29.35345	20666667	2.2606	2.2411	0.8748	15685	NA
6310	Live_fB3C1M4	Live_fb3c1	D	1	7	1	Live	F	fB3	15.06.2020	Tac	24.07.2020	12:19	0	29.05	20.91	71.97934596	6.88	23.68330465	0.25	18.34	31.07.2020	10:42	7	32.18	07.08.2020	09:31	14	35.09	14.08.2020	09:56	21	38.55	17.08.2020	24	08:30	37.26	10.9	29.25389157	26.29	70.5582394	0.93	23.69	18.08.2020	08:11	25	NA	NA	21.08.2020	07:00	12:06	28	35.98	9.91	27.54307949	25.48	70.81712062	0.78	22.12	6.97	2.3	36.3928	25324074	2.3021	2.2851	0.8816	16001	NA
